Tipo de infracción;Comunidades y ciudades autónomas;Periodo;Total
Detenciones ilegales y secuestro;Castilla y León;2012;1
Detenciones ilegales y secuestro;Castilla y León;2011;1
Detenciones ilegales y secuestro;Castilla - La Mancha;2023;2
Detenciones ilegales y secuestro;Castilla - La Mancha;2022;1
Detenciones ilegales y secuestro;Castilla - La Mancha;2021;1
Detenciones ilegales y secuestro;Castilla - La Mancha;2020;0
Detenciones ilegales y secuestro;Castilla - La Mancha;2019;1
Detenciones ilegales y secuestro;Castilla - La Mancha;2018;0
Detenciones ilegales y secuestro;Castilla - La Mancha;2017;1
Detenciones ilegales y secuestro;Castilla - La Mancha;2016;0
Detenciones ilegales y secuestro;Castilla - La Mancha;2015;0
Detenciones ilegales y secuestro;Castilla - La Mancha;2014;0
Detenciones ilegales y secuestro;Castilla - La Mancha;2013;2
Detenciones ilegales y secuestro;Castilla - La Mancha;2012;1
Detenciones ilegales y secuestro;Castilla - La Mancha;2011;2
Detenciones ilegales y secuestro;Cataluña;2023;15
Detenciones ilegales y secuestro;Cataluña;2022;7
Detenciones ilegales y secuestro;Cataluña;2021;13
Detenciones ilegales y secuestro;Cataluña;2020;7
Detenciones ilegales y secuestro;Cataluña;2019;9
Detenciones ilegales y secuestro;Cataluña;2018;6
Detenciones ilegales y secuestro;Cataluña;2017;11
Detenciones ilegales y secuestro;Cataluña;2016;7
Detenciones ilegales y secuestro;Cataluña;2015;5
Detenciones ilegales y secuestro;Cataluña;2014;9
Detenciones ilegales y secuestro;Cataluña;2013;7
Detenciones ilegales y secuestro;Cataluña;2012;5
Detenciones ilegales y secuestro;Cataluña;2011;4
Detenciones ilegales y secuestro;Comunitat Valenciana;2023;14
Detenciones ilegales y secuestro;Comunitat Valenciana;2022;3
Detenciones ilegales y secuestro;Comunitat Valenciana;2021;5
Detenciones ilegales y secuestro;Comunitat Valenciana;2020;3
Detenciones ilegales y secuestro;Comunitat Valenciana;2019;2
Detenciones ilegales y secuestro;Comunitat Valenciana;2018;5
Detenciones ilegales y secuestro;Comunitat Valenciana;2017;6
Detenciones ilegales y secuestro;Comunitat Valenciana;2016;7
Detenciones ilegales y secuestro;Comunitat Valenciana;2015;1
Detenciones ilegales y secuestro;Comunitat Valenciana;2014;7
Detenciones ilegales y secuestro;Comunitat Valenciana;2013;6
Detenciones ilegales y secuestro;Comunitat Valenciana;2012;2
Detenciones ilegales y secuestro;Comunitat Valenciana;2011;6
Detenciones ilegales y secuestro;Extremadura;2023;0
Detenciones ilegales y secuestro;Extremadura;2022;1
Detenciones ilegales y secuestro;Extremadura;2021;0
Detenciones ilegales y secuestro;Extremadura;2020;0
Detenciones ilegales y secuestro;Extremadura;2019;1
Detenciones ilegales y secuestro;Extremadura;2018;0
Detenciones ilegales y secuestro;Extremadura;2017;0
Detenciones ilegales y secuestro;Extremadura;2016;0
Detenciones ilegales y secuestro;Extremadura;2015;0
Detenciones ilegales y secuestro;Extremadura;2014;0
Detenciones ilegales y secuestro;Extremadura;2013;0
Detenciones ilegales y secuestro;Extremadura;2012;0
Detenciones ilegales y secuestro;Extremadura;2011;1
Detenciones ilegales y secuestro;Galicia;2023;2
Detenciones ilegales y secuestro;Galicia;2022;3
Detenciones ilegales y secuestro;Galicia;2021;0
Detenciones ilegales y secuestro;Galicia;2020;1
Detenciones ilegales y secuestro;Galicia;2019;2
Detenciones ilegales y secuestro;Galicia;2018;3
Detenciones ilegales y secuestro;Galicia;2017;1
Detenciones ilegales y secuestro;Galicia;2016;2
Detenciones ilegales y secuestro;Galicia;2015;1
Detenciones ilegales y secuestro;Galicia;2014;1
Detenciones ilegales y secuestro;Galicia;2013;1
Detenciones ilegales y secuestro;Galicia;2012;0
Detenciones ilegales y secuestro;Galicia;2011;0
Detenciones ilegales y secuestro;Madrid, Comunidad de;2023;7
Detenciones ilegales y secuestro;Madrid, Comunidad de;2022;1
Detenciones ilegales y secuestro;Madrid, Comunidad de;2021;2
Detenciones ilegales y secuestro;Madrid, Comunidad de;2020;0
Detenciones ilegales y secuestro;Madrid, Comunidad de;2019;1
Detenciones ilegales y secuestro;Madrid, Comunidad de;2018;2
Detenciones ilegales y secuestro;Madrid, Comunidad de;2017;1
Detenciones ilegales y secuestro;Madrid, Comunidad de;2016;1
Detenciones ilegales y secuestro;Madrid, Comunidad de;2015;2
Detenciones ilegales y secuestro;Madrid, Comunidad de;2014;0
Detenciones ilegales y secuestro;Madrid, Comunidad de;2013;1
Detenciones ilegales y secuestro;Madrid, Comunidad de;2012;6
Detenciones ilegales y secuestro;Madrid, Comunidad de;2011;4
Detenciones ilegales y secuestro;Murcia, Región de;2023;1
Detenciones ilegales y secuestro;Murcia, Región de;2022;1
Detenciones ilegales y secuestro;Murcia, Región de;2021;0
Detenciones ilegales y secuestro;Murcia, Región de;2020;0
Detenciones ilegales y secuestro;Murcia, Región de;2019;0
Detenciones ilegales y secuestro;Murcia, Región de;2018;1
Detenciones ilegales y secuestro;Murcia, Región de;2017;0
Detenciones ilegales y secuestro;Murcia, Región de;2016;3
Detenciones ilegales y secuestro;Murcia, Región de;2015;2
Detenciones ilegales y secuestro;Murcia, Región de;2014;0
Detenciones ilegales y secuestro;Murcia, Región de;2013;2
Detenciones ilegales y secuestro;Murcia, Región de;2012;1
Detenciones ilegales y secuestro;Murcia, Región de;2011;1
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2023;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2022;1
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2021;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2020;1
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2019;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2018;1
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2017;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2016;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2015;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2014;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2013;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2012;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2011;0
Detenciones ilegales y secuestro;País Vasco;2023;1
Detenciones ilegales y secuestro;País Vasco;2022;1
Detenciones ilegales y secuestro;País Vasco;2021;2
Detenciones ilegales y secuestro;País Vasco;2020;5
Detenciones ilegales y secuestro;País Vasco;2019;0
Detenciones ilegales y secuestro;País Vasco;2018;0
Detenciones ilegales y secuestro;País Vasco;2017;2
Detenciones ilegales y secuestro;País Vasco;2016;0
Detenciones ilegales y secuestro;País Vasco;2015;1
Detenciones ilegales y secuestro;País Vasco;2014;2
Detenciones ilegales y secuestro;País Vasco;2013;0
Detenciones ilegales y secuestro;País Vasco;2012;0
Detenciones ilegales y secuestro;País Vasco;2011;2
Detenciones ilegales y secuestro;Rioja, La;2023;0
Detenciones ilegales y secuestro;Rioja, La;2022;0
Detenciones ilegales y secuestro;Rioja, La;2021;0
Detenciones ilegales y secuestro;Rioja, La;2020;0
Detenciones ilegales y secuestro;Rioja, La;2019;0
Detenciones ilegales y secuestro;Rioja, La;2018;0
Detenciones ilegales y secuestro;Rioja, La;2017;0
Detenciones ilegales y secuestro;Rioja, La;2016;0
Detenciones ilegales y secuestro;Rioja, La;2015;0
Detenciones ilegales y secuestro;Rioja, La;2014;0
Detenciones ilegales y secuestro;Rioja, La;2013;0
Detenciones ilegales y secuestro;Rioja, La;2012;0
Detenciones ilegales y secuestro;Rioja, La;2011;0
Detenciones ilegales y secuestro;Ceuta;2023;0
Detenciones ilegales y secuestro;Ceuta;2022;0
Detenciones ilegales y secuestro;Ceuta;2021;0
Detenciones ilegales y secuestro;Ceuta;2020;0
Detenciones ilegales y secuestro;Ceuta;2019;0
Detenciones ilegales y secuestro;Ceuta;2018;0
Detenciones ilegales y secuestro;Ceuta;2017;0
Detenciones ilegales y secuestro;Ceuta;2016;0
Detenciones ilegales y secuestro;Ceuta;2015;0
Detenciones ilegales y secuestro;Ceuta;2014;0
Detenciones ilegales y secuestro;Ceuta;2013;0
Detenciones ilegales y secuestro;Ceuta;2012;0
Detenciones ilegales y secuestro;Ceuta;2011;0
Detenciones ilegales y secuestro;Melilla;2023;0
Detenciones ilegales y secuestro;Melilla;2022;0
Detenciones ilegales y secuestro;Melilla;2021;0
Detenciones ilegales y secuestro;Melilla;2020;0
Detenciones ilegales y secuestro;Melilla;2019;0
Detenciones ilegales y secuestro;Melilla;2018;0
Detenciones ilegales y secuestro;Melilla;2017;0
Detenciones ilegales y secuestro;Melilla;2016;0
Detenciones ilegales y secuestro;Melilla;2015;0
Detenciones ilegales y secuestro;Melilla;2014;0
Detenciones ilegales y secuestro;Melilla;2013;0
Detenciones ilegales y secuestro;Melilla;2012;0
Detenciones ilegales y secuestro;Melilla;2011;0
Amenazas;Total Nacional;2023;7.347
Amenazas;Total Nacional;2022;6.427
Amenazas;Total Nacional;2021;5.620
Amenazas;Total Nacional;2020;5.231
Amenazas;Total Nacional;2019;5.903
Amenazas;Total Nacional;2018;6.369
Amenazas;Total Nacional;2017;6.003
Amenazas;Total Nacional;2016;5.934
Amenazas;Total Nacional;2015;5.821
Amenazas;Total Nacional;2014;5.804
Amenazas;Total Nacional;2013;5.637
Amenazas;Total Nacional;2012;6.302
Amenazas;Total Nacional;2011;7.665
Amenazas;Andalucía;2023;2.039
Amenazas;Andalucía;2022;1.755
Amenazas;Andalucía;2021;1.525
Amenazas;Andalucía;2020;1.532
Amenazas;Andalucía;2019;1.543
Amenazas;Andalucía;2018;1.677
Amenazas;Andalucía;2017;1.693
Amenazas;Andalucía;2016;1.670
Amenazas;Andalucía;2015;1.730
Amenazas;Andalucía;2014;1.762
Amenazas;Andalucía;2013;1.644
Amenazas;Andalucía;2012;1.807
Amenazas;Andalucía;2011;2.228
Amenazas;Aragón;2023;190
Amenazas;Aragón;2022;151
Amenazas;Aragón;2021;110
Amenazas;Aragón;2020;76
Amenazas;Aragón;2019;139
Amenazas;Aragón;2018;163
Amenazas;Aragón;2017;195
Amenazas;Aragón;2016;199
Amenazas;Aragón;2015;135
Amenazas;Aragón;2014;171
Amenazas;Aragón;2013;146
Amenazas;Aragón;2012;153
Amenazas;Aragón;2011;221
Amenazas;Asturias, Principado de;2023;160
Amenazas;Asturias, Principado de;2022;144
Amenazas;Asturias, Principado de;2021;114
Amenazas;Asturias, Principado de;2020;94
Amenazas;Asturias, Principado de;2019;135
Amenazas;Asturias, Principado de;2018;142
Amenazas;Asturias, Principado de;2017;129
Amenazas;Asturias, Principado de;2016;123
Amenazas;Asturias, Principado de;2015;116
Amenazas;Asturias, Principado de;2014;86
Amenazas;Asturias, Principado de;2013;71
Amenazas;Asturias, Principado de;2012;88
Amenazas;Asturias, Principado de;2011;131
Amenazas;Balears, Illes;2023;182
Amenazas;Balears, Illes;2022;159
Amenazas;Balears, Illes;2021;123
Amenazas;Balears, Illes;2020;106
Amenazas;Balears, Illes;2019;151
Amenazas;Balears, Illes;2018;152
Amenazas;Balears, Illes;2017;167
Amenazas;Balears, Illes;2016;136
Amenazas;Balears, Illes;2015;171
Amenazas;Balears, Illes;2014;105
Amenazas;Balears, Illes;2013;138
Amenazas;Balears, Illes;2012;154
Amenazas;Balears, Illes;2011;185
Amenazas;Canarias;2023;500
Amenazas;Canarias;2022;391
Amenazas;Canarias;2021;321
Amenazas;Canarias;2020;319
Amenazas;Canarias;2019;337
Amenazas;Canarias;2018;323
Amenazas;Canarias;2017;273
Amenazas;Canarias;2016;246
Amenazas;Canarias;2015;264
Amenazas;Canarias;2014;220
Amenazas;Canarias;2013;279
Amenazas;Canarias;2012;292
Amenazas;Canarias;2011;343
Amenazas;Cantabria;2023;148
Amenazas;Cantabria;2022;114
Amenazas;Cantabria;2021;103
Amenazas;Cantabria;2020;89
Amenazas;Cantabria;2019;91
Amenazas;Cantabria;2018;122
Amenazas;Cantabria;2017;93
Amenazas;Cantabria;2016;129
Amenazas;Cantabria;2015;80
Amenazas;Cantabria;2014;74
Amenazas;Cantabria;2013;69
Amenazas;Cantabria;2012;75
Amenazas;Cantabria;2011;80
Amenazas;Castilla y León;2023;322
Amenazas;Castilla y León;2022;305
Amenazas;Castilla y León;2021;225
Amenazas;Castilla y León;2020;233
Amenazas;Castilla y León;2019;242
Amenazas;Castilla y León;2018;266
Amenazas;Castilla y León;2017;274
Amenazas;Castilla y León;2016;299
Amenazas;Castilla y León;2015;288
Amenazas;Castilla y León;2014;298
Amenazas;Castilla y León;2013;263
Amenazas;Castilla y León;2012;271
Amenazas;Castilla y León;2011;334
Amenazas;Castilla - La Mancha;2023;292
Amenazas;Castilla - La Mancha;2022;314
Amenazas;Castilla - La Mancha;2021;302
Amenazas;Castilla - La Mancha;2020;220
Amenazas;Castilla - La Mancha;2019;277
Amenazas;Castilla - La Mancha;2018;333
Amenazas;Castilla - La Mancha;2017;300
Amenazas;Castilla - La Mancha;2016;334
Amenazas;Castilla - La Mancha;2015;348
Amenazas;Castilla - La Mancha;2014;337
Amenazas;Castilla - La Mancha;2013;301
Amenazas;Castilla - La Mancha;2012;302
Amenazas;Castilla - La Mancha;2011;378
Amenazas;Cataluña;2023;681
Amenazas;Cataluña;2022;670
Amenazas;Cataluña;2021;582
Amenazas;Cataluña;2020;572
Amenazas;Cataluña;2019;615
Amenazas;Cataluña;2018;685
Amenazas;Cataluña;2017;640
Amenazas;Cataluña;2016;569
Amenazas;Cataluña;2015;595
Amenazas;Cataluña;2014;501
Amenazas;Cataluña;2013;488
Amenazas;Cataluña;2012;666
Amenazas;Cataluña;2011;752
Amenazas;Comunitat Valenciana;2023;1.119
Amenazas;Comunitat Valenciana;2022;1.006
Amenazas;Comunitat Valenciana;2021;873
Amenazas;Comunitat Valenciana;2020;770
Amenazas;Comunitat Valenciana;2019;998
Amenazas;Comunitat Valenciana;2018;1.063
Amenazas;Comunitat Valenciana;2017;888
Amenazas;Comunitat Valenciana;2016;848
Amenazas;Comunitat Valenciana;2015;853
Amenazas;Comunitat Valenciana;2014;945
Amenazas;Comunitat Valenciana;2013;960
Amenazas;Comunitat Valenciana;2012;1.038
Amenazas;Comunitat Valenciana;2011;1.187
Amenazas;Extremadura;2023;216
Amenazas;Extremadura;2022;149
Amenazas;Extremadura;2021;119
Amenazas;Extremadura;2020;121
Amenazas;Extremadura;2019;127
Amenazas;Extremadura;2018;141
Amenazas;Extremadura;2017;147
Amenazas;Extremadura;2016;169
Amenazas;Extremadura;2015;128
Amenazas;Extremadura;2014;151
Amenazas;Extremadura;2013;141
Amenazas;Extremadura;2012;152
Amenazas;Extremadura;2011;177
Amenazas;Galicia;2023;278
Amenazas;Galicia;2022;228
Amenazas;Galicia;2021;181
Amenazas;Galicia;2020;141
Amenazas;Galicia;2019;179
Amenazas;Galicia;2018;198
Amenazas;Galicia;2017;175
Amenazas;Galicia;2016;199
Amenazas;Galicia;2015;163
Amenazas;Galicia;2014;176
Amenazas;Galicia;2013;157
Amenazas;Galicia;2012;178
Amenazas;Galicia;2011;261
Amenazas;Madrid, Comunidad de;2023;595
Amenazas;Madrid, Comunidad de;2022;499
Amenazas;Madrid, Comunidad de;2021;543
Amenazas;Madrid, Comunidad de;2020;507
Amenazas;Madrid, Comunidad de;2019;609
Amenazas;Madrid, Comunidad de;2018;649
Amenazas;Madrid, Comunidad de;2017;639
Amenazas;Madrid, Comunidad de;2016;631
Amenazas;Madrid, Comunidad de;2015;544
Amenazas;Madrid, Comunidad de;2014;593
Amenazas;Madrid, Comunidad de;2013;581
Amenazas;Madrid, Comunidad de;2012;699
Amenazas;Madrid, Comunidad de;2011;903
Amenazas;Murcia, Región de;2023;336
Amenazas;Murcia, Región de;2022;292
Amenazas;Murcia, Región de;2021;267
Amenazas;Murcia, Región de;2020;227
Amenazas;Murcia, Región de;2019;229
Amenazas;Murcia, Región de;2018;222
Amenazas;Murcia, Región de;2017;171
Amenazas;Murcia, Región de;2016;184
Amenazas;Murcia, Región de;2015;192
Amenazas;Murcia, Región de;2014;188
Amenazas;Murcia, Región de;2013;220
Amenazas;Murcia, Región de;2012;228
Amenazas;Murcia, Región de;2011;269
Amenazas;Navarra, Comunidad Foral de;2023;38
Amenazas;Navarra, Comunidad Foral de;2022;34
Amenazas;Navarra, Comunidad Foral de;2021;31
Amenazas;Navarra, Comunidad Foral de;2020;37
Amenazas;Navarra, Comunidad Foral de;2019;29
Amenazas;Navarra, Comunidad Foral de;2018;31
Amenazas;Navarra, Comunidad Foral de;2017;25
Amenazas;Navarra, Comunidad Foral de;2016;43
Amenazas;Navarra, Comunidad Foral de;2015;38
Amenazas;Navarra, Comunidad Foral de;2014;37
Amenazas;Navarra, Comunidad Foral de;2013;30
Amenazas;Navarra, Comunidad Foral de;2012;44
Amenazas;Navarra, Comunidad Foral de;2011;58
Amenazas;País Vasco;2023;134
Amenazas;País Vasco;2022;131
Amenazas;País Vasco;2021;132
Amenazas;País Vasco;2020;109
Amenazas;País Vasco;2019;137
Amenazas;País Vasco;2018;128
Amenazas;País Vasco;2017;122
Amenazas;País Vasco;2016;87
Amenazas;País Vasco;2015;99
Amenazas;País Vasco;2014;102
Amenazas;País Vasco;2013;108
Amenazas;País Vasco;2012;104
Amenazas;País Vasco;2011;93
Amenazas;Rioja, La;2023;62
Amenazas;Rioja, La;2022;58
Amenazas;Rioja, La;2021;52
Amenazas;Rioja, La;2020;47
Amenazas;Rioja, La;2019;50
Amenazas;Rioja, La;2018;59
Amenazas;Rioja, La;2017;42
Amenazas;Rioja, La;2016;46
Amenazas;Rioja, La;2015;41
Amenazas;Rioja, La;2014;35
Amenazas;Rioja, La;2013;25
Amenazas;Rioja, La;2012;37
Amenazas;Rioja, La;2011;37
Amenazas;Ceuta;2023;20
Amenazas;Ceuta;2022;11
Amenazas;Ceuta;2021;9
Amenazas;Ceuta;2020;15
Amenazas;Ceuta;2019;6
Amenazas;Ceuta;2018;8
Amenazas;Ceuta;2017;11
Amenazas;Ceuta;2016;11
Amenazas;Ceuta;2015;9
Amenazas;Ceuta;2014;10
Amenazas;Ceuta;2013;6
Amenazas;Ceuta;2012;8
Amenazas;Ceuta;2011;17
Amenazas;Melilla;2023;35
Amenazas;Melilla;2022;16
Amenazas;Melilla;2021;8
Amenazas;Melilla;2020;16
Amenazas;Melilla;2019;9
Amenazas;Melilla;2018;7
Amenazas;Melilla;2017;19
Amenazas;Melilla;2016;11
Amenazas;Melilla;2015;27
Amenazas;Melilla;2014;13
Amenazas;Melilla;2013;10
Amenazas;Melilla;2012;6
Amenazas;Melilla;2011;11
Coacciones;Total Nacional;2023;1.651
Coacciones;Total Nacional;2022;1.341
Coacciones;Total Nacional;2021;1.171
Coacciones;Total Nacional;2020;800
Coacciones;Total Nacional;2019;1.025
Coacciones;Total Nacional;2018;992
Coacciones;Total Nacional;2017;896
Coacciones;Total Nacional;2016;864
Coacciones;Total Nacional;2015;889
Coacciones;Total Nacional;2014;868
Coacciones;Total Nacional;2013;755
Coacciones;Total Nacional;2012;759
Coacciones;Total Nacional;2011;783
Coacciones;Andalucía;2023;329
Coacciones;Andalucía;2022;301
Coacciones;Andalucía;2021;216
Coacciones;Andalucía;2020;174
Coacciones;Andalucía;2019;212
Coacciones;Andalucía;2018;187
Coacciones;Andalucía;2017;192
Coacciones;Andalucía;2016;167
Coacciones;Andalucía;2015;155
Coacciones;Andalucía;2014;160
Coacciones;Andalucía;2013;130
Coacciones;Andalucía;2012;150
Coacciones;Andalucía;2011;136
Coacciones;Aragón;2023;66
Coacciones;Aragón;2022;37
Coacciones;Aragón;2021;30
Coacciones;Aragón;2020;24
Coacciones;Aragón;2019;24
Coacciones;Aragón;2018;38
Coacciones;Aragón;2017;18
Coacciones;Aragón;2016;26
Coacciones;Aragón;2015;31
Coacciones;Aragón;2014;49
Coacciones;Aragón;2013;28
Coacciones;Aragón;2012;34
Coacciones;Aragón;2011;32
Coacciones;Asturias, Principado de;2023;44
Coacciones;Asturias, Principado de;2022;28
Coacciones;Asturias, Principado de;2021;27
Coacciones;Asturias, Principado de;2020;18
Coacciones;Asturias, Principado de;2019;23
Coacciones;Asturias, Principado de;2018;24
Coacciones;Asturias, Principado de;2017;17
Coacciones;Asturias, Principado de;2016;18
Coacciones;Asturias, Principado de;2015;18
Coacciones;Asturias, Principado de;2014;14
Coacciones;Asturias, Principado de;2013;14
Coacciones;Asturias, Principado de;2012;15
Coacciones;Asturias, Principado de;2011;18
Coacciones;Balears, Illes;2023;96
Coacciones;Balears, Illes;2022;100
Coacciones;Balears, Illes;2021;55
Coacciones;Balears, Illes;2020;57
Coacciones;Balears, Illes;2019;76
Coacciones;Balears, Illes;2018;50
Coacciones;Balears, Illes;2017;70
Coacciones;Balears, Illes;2016;56
Coacciones;Balears, Illes;2015;63
Coacciones;Balears, Illes;2014;38
Coacciones;Balears, Illes;2013;42
Coacciones;Balears, Illes;2012;34
Coacciones;Balears, Illes;2011;61
Coacciones;Canarias;2023;133
Coacciones;Canarias;2022;74
Coacciones;Canarias;2021;58
Coacciones;Canarias;2020;51
Coacciones;Canarias;2019;49
Coacciones;Canarias;2018;44
Coacciones;Canarias;2017;23
Coacciones;Canarias;2016;44
Coacciones;Canarias;2015;57
Coacciones;Canarias;2014;53
Coacciones;Canarias;2013;42
Coacciones;Canarias;2012;46
Coacciones;Canarias;2011;50
Coacciones;Cantabria;2023;27
Coacciones;Cantabria;2022;16
Coacciones;Cantabria;2021;24
Coacciones;Cantabria;2020;8
Coacciones;Cantabria;2019;26
Coacciones;Cantabria;2018;42
Coacciones;Cantabria;2017;26
Coacciones;Cantabria;2016;24
Coacciones;Cantabria;2015;17
Coacciones;Cantabria;2014;19
Coacciones;Cantabria;2013;7
Coacciones;Cantabria;2012;10
Coacciones;Cantabria;2011;10
Coacciones;Castilla y León;2023;82
Coacciones;Castilla y León;2022;93
Coacciones;Castilla y León;2021;71
Coacciones;Castilla y León;2020;43
Coacciones;Castilla y León;2019;49
Coacciones;Castilla y León;2018;55
Coacciones;Castilla y León;2017;39
Coacciones;Castilla y León;2016;45
Coacciones;Castilla y León;2015;38
Coacciones;Castilla y León;2014;51
Coacciones;Castilla y León;2013;37
Coacciones;Castilla y León;2012;25
Coacciones;Castilla y León;2011;45
Coacciones;Castilla - La Mancha;2023;38
Coacciones;Castilla - La Mancha;2022;48
Coacciones;Castilla - La Mancha;2021;43
Coacciones;Castilla - La Mancha;2020;27
Coacciones;Castilla - La Mancha;2019;38
Coacciones;Castilla - La Mancha;2018;43
Coacciones;Castilla - La Mancha;2017;38
Coacciones;Castilla - La Mancha;2016;51
Coacciones;Castilla - La Mancha;2015;40
Coacciones;Castilla - La Mancha;2014;37
Coacciones;Castilla - La Mancha;2013;37
Coacciones;Castilla - La Mancha;2012;26
Coacciones;Castilla - La Mancha;2011;24
Coacciones;Cataluña;2023;116
Coacciones;Cataluña;2022;87
Coacciones;Cataluña;2021;122
Coacciones;Cataluña;2020;50
Coacciones;Cataluña;2019;68
Coacciones;Cataluña;2018;85
Coacciones;Cataluña;2017;82
Coacciones;Cataluña;2016;64
Coacciones;Cataluña;2015;79
Coacciones;Cataluña;2014;75
Coacciones;Cataluña;2013;65
Coacciones;Cataluña;2012;77
Coacciones;Cataluña;2011;84
Coacciones;Comunitat Valenciana;2023;225
Coacciones;Comunitat Valenciana;2022;175
Coacciones;Comunitat Valenciana;2021;169
Coacciones;Comunitat Valenciana;2020;108
Coacciones;Comunitat Valenciana;2019;133
Coacciones;Comunitat Valenciana;2018;149
Coacciones;Comunitat Valenciana;2017;144
Coacciones;Comunitat Valenciana;2016;118
Coacciones;Comunitat Valenciana;2015;126
Coacciones;Comunitat Valenciana;2014;119
Coacciones;Comunitat Valenciana;2013;130
Coacciones;Comunitat Valenciana;2012;96
Coacciones;Comunitat Valenciana;2011;68
Coacciones;Extremadura;2023;65
Coacciones;Extremadura;2022;43
Coacciones;Extremadura;2021;24
Coacciones;Extremadura;2020;25
Coacciones;Extremadura;2019;35
Coacciones;Extremadura;2018;38
Coacciones;Extremadura;2017;20
Coacciones;Extremadura;2016;28
Coacciones;Extremadura;2015;35
Coacciones;Extremadura;2014;19
Coacciones;Extremadura;2013;28
Coacciones;Extremadura;2012;19
Coacciones;Extremadura;2011;28
Coacciones;Galicia;2023;64
Coacciones;Galicia;2022;69
Coacciones;Galicia;2021;62
Coacciones;Galicia;2020;35
Coacciones;Galicia;2019;46
Coacciones;Galicia;2018;37
Coacciones;Galicia;2017;47
Coacciones;Galicia;2016;56
Coacciones;Galicia;2015;45
Coacciones;Galicia;2014;55
Coacciones;Galicia;2013;36
Coacciones;Galicia;2012;42
Coacciones;Galicia;2011;46
Coacciones;Madrid, Comunidad de;2023;143
Coacciones;Madrid, Comunidad de;2022;116
Coacciones;Madrid, Comunidad de;2021;118
Coacciones;Madrid, Comunidad de;2020;65
Coacciones;Madrid, Comunidad de;2019;114
Coacciones;Madrid, Comunidad de;2018;93
Coacciones;Madrid, Comunidad de;2017;102
Coacciones;Madrid, Comunidad de;2016;86
Coacciones;Madrid, Comunidad de;2015;96
Coacciones;Madrid, Comunidad de;2014;97
Coacciones;Madrid, Comunidad de;2013;98
Coacciones;Madrid, Comunidad de;2012;97
Coacciones;Madrid, Comunidad de;2011;107
Coacciones;Murcia, Región de;2023;77
Coacciones;Murcia, Región de;2022;48
Coacciones;Murcia, Región de;2021;55
Coacciones;Murcia, Región de;2020;52
Coacciones;Murcia, Región de;2019;56
Coacciones;Murcia, Región de;2018;45
Coacciones;Murcia, Región de;2017;27
Coacciones;Murcia, Región de;2016;30
Coacciones;Murcia, Región de;2015;22
Coacciones;Murcia, Región de;2014;36
Coacciones;Murcia, Región de;2013;23
Coacciones;Murcia, Región de;2012;40
Coacciones;Murcia, Región de;2011;32
Coacciones;Navarra, Comunidad Foral de;2023;12
Coacciones;Navarra, Comunidad Foral de;2022;7
Coacciones;Navarra, Comunidad Foral de;2021;10
Coacciones;Navarra, Comunidad Foral de;2020;6
Coacciones;Navarra, Comunidad Foral de;2019;11
Coacciones;Navarra, Comunidad Foral de;2018;6
Coacciones;Navarra, Comunidad Foral de;2017;5
Coacciones;Navarra, Comunidad Foral de;2016;13
Coacciones;Navarra, Comunidad Foral de;2015;18
Coacciones;Navarra, Comunidad Foral de;2014;9
Coacciones;Navarra, Comunidad Foral de;2013;3
Coacciones;Navarra, Comunidad Foral de;2012;11
Coacciones;Navarra, Comunidad Foral de;2011;7
Coacciones;País Vasco;2023;88
Coacciones;País Vasco;2022;69
Coacciones;País Vasco;2021;68
Coacciones;País Vasco;2020;44
Coacciones;País Vasco;2019;49
Coacciones;País Vasco;2018;40
Coacciones;País Vasco;2017;35
Coacciones;País Vasco;2016;33
Coacciones;País Vasco;2015;32
Coacciones;País Vasco;2014;28
Coacciones;País Vasco;2013;30
Coacciones;País Vasco;2012;25
Coacciones;País Vasco;2011;26
Coacciones;Rioja, La;2023;34
Coacciones;Rioja, La;2022;27
Coacciones;Rioja, La;2021;17
Coacciones;Rioja, La;2020;13
Coacciones;Rioja, La;2019;15
Coacciones;Rioja, La;2018;16
Coacciones;Rioja, La;2017;9
Coacciones;Rioja, La;2016;5
Coacciones;Rioja, La;2015;15
Coacciones;Rioja, La;2014;8
Coacciones;Rioja, La;2013;2
Coacciones;Rioja, La;2012;11
Coacciones;Rioja, La;2011;9
Coacciones;Ceuta;2023;5
Coacciones;Ceuta;2022;1
Coacciones;Ceuta;2021;0
Coacciones;Ceuta;2020;0
Coacciones;Ceuta;2019;0
Coacciones;Ceuta;2018;0
Coacciones;Ceuta;2017;0
Coacciones;Ceuta;2016;0
Coacciones;Ceuta;2015;1
